CLASS,LASTNAME,FIRSTNAME,TID,PHONE,EMAIL,GENDER,PASSWORD,MD5_HASH,SHA1_HASH
B,Esteves,Dewit,T190028,98053029,Dew74@sn.edu.hk,M,^xJggS4%,34c72aabb5861229d207945b134e028c,cfcfb576595261648932928b52d596cde5b9d2ca
B,Etheridge,Kath,T190020,91137310,Ethe_K@aol.com,M,dKbsn!5V,addabfa623faef801df97dac9e2deaa5,58585bc4d5ab6b1ee3688ee930be471f341dc687
B,Farago,Kaycee Ka,T190060,94788067,Kay89@me.com,F,yr7W&h~N,631c8af763427017f6efb82126942a99,b27d2568073c4203a2b3668327f5f656f0e1ed58
B,Jankowski,Rowena,T190045,92076365,JankRowena@songnet.info,M,B9dP8JS^,780fa0d0abede503b814f4c445238d2e,45e51145ad469f75c47c208b5dce07cbab2a0330
B,Jasmin,Mit,T190023,98247175,Jasm_M@optonline.net,M,8Dc2YRx#,0355a63556fc95ddb67184186597507a,2248510f34d5199a227b45ed8b65876bafc9f94d
B,Ledezma,Margot ,T190004,95513348,Margot119@progressenergyinc.info,F,FM>e95#U,e99e715e10d60ec94823efee8570293f,026fac98024464eeefd2103306f9dc177836f911
B,Leeder,Ida I,T190082,94882968,Leed_I@protal.my,F,@L4eWs~W,866c3ca75e5ce2d07456ca7539584703,7a3ce1df20d58ebc0683192fe9798e07c4cebd06
B,Leite,Laken,T190105,+852 91317252,Leit_L@hk-full.co,F,W4CK7r%~,6873a1efe0cfae2271711f32c583fa0c,299effd0878ed0745e9ee8fea60120b555af0837
B,Levasseur,Jesusa Bla,T190103,92411144,Jes92@yahoo.com,M,?HG+Fn7d,6255ed13598d46a92fde55ae40f19160,1eb1e6e3a3d05317e57fd6f876479084628d50ee
B,Marcellus,Jeff ,T190075,94835890,J.Marcellus@yahoo.ca,M,av>~2dLq,dbb6663343c4185ce1ee2f3f6d1d59e8,61cd4c7e984404df01ed6cf88b2ed5af2a0154dc
B,Maza,Yuonn,T190039,94955065,Yuo68@egl-inc.info,F,4&SW?>J$,2963cc37d164fcc6c1ef332725d885d8,56cb8aa1756d034b64611f861161452113e9eb57
B,Milling,Boris Br,T190011,98565632,BoriBr@arvinmeritor.info,F,kr+NSn2e,acff22eb2aeb489a7c13b24221b5300d,1082fa24431489cba0db46d39cdebbd83eb26ceb
B,Mizell,Die,T190064,26571450,D.Mizell@afast-uk.com,F,S3e&xz9P,7fdf5dc60cfac78ecc00ec65f265637c,a9316b4595651e4964c059baedb0e6ed6da9f4cf
B,Necessary,Michae,T190029,91255077,M.Necessary@newkien.co.uk,M,zMs+68wH,bd9e4c4eb613e36abedd5e497ca0028a,50e59451ac72ddaa96bfe8cde7b2557ac0ce7f81
B,Neilsen,Linwoo,T190085,52498639,Lin66@songnet.info,F,fKDh%n9L,88631468546d532dbf4ea54d5cc9b6de,4748cb68bc3b0bb767b85ece5d9dbc4c6889d5d1
B,Nolton,Juan,T190007,91150854,Jua79@sbcglobal.net,F,DFs2JF%8,5728c657d3628b8627d9acc1c6ec8787,9d0e00f753ae21fa3095f8119cdc8f462ae065ff
B,Rieves,Doria,T190090,33813376,Riev_D@ivtc.us,M,He8Nr$BC,de69cce216409829a9a5d638e0b077bb,0ee7dc39a8591dc3314b5f21acffd6485987a059
B,Tripodi,Fleta,T190088,93735094,Fle78@msn.com,F,2%!4?QCg,f8d6e1980d022185d0381a6a2b862f45,b27cc49ccf17047345c8833c7f4bdd5b6db2c3fd
C,Blumer,Lisab,T190081,20915427,Lis73@soso.co,M,2BgAK8>d,8c01099e39e0acae2083646f90eadf18,ca37f1e820d96ebac3f149cd8a28e4c0121fe5a1
C,Engelbrecht,Nid,T190038,94797721,Nid91@anda-kl.com.hk,F,q>f28TKC,96bb813158b90c680d5618c156a47fa6,a07ca711e703a0007ddd1badff953361b158bcaa
C,Figueroa,Jeann,T190014,98157771,J.Figueroa@yahoo.ca,M,5&DnZX3p,fc9ae8f1a907c157d65c44aa874a8496,887995b50d61dc26c2e50088485e50e3696f310f
C,Hadlock,Rhea,T190087,95720509,HadlockRhea@opon.com.my,F,f+E2UrF@,413807da4f0fcea21e3ead8b40b599ed,eea0a753a0329d5921ce653dab31ca485a7c3c4d
C,Haubrich,Drusi,T190035,25278570,Haub_D@sagakali.net,F,X8SC++4R,50730a2c29e29d8899d49f462d5f4059,4d0f919d42fec9ef44528c7aed9d5d76129869ef
C,Heiden,Elliot E,T190037,23425304,Ell74@auto-aai.co,F,2Zdye%pk,17915386a27cbcb665449ae5c45a698f,9f645b045bdee0925732f80ee0020e539599e583
C,Kalinowski,Kare,T190107,96123940,Kali_K@ymail.co,M,8jvj2W>S,45c21e1fa5aba6292e854dfa915be0d8,f6110d755668f3d933d69c41e633fb5638095ad0
C,Khang,John,T190077,94405415,John@new-man.co,F,V!!t8CVp,a5e90b1f0f7099cea37177efff057e06,47bd3a302dc2371bc7ed2fd54d4bd9c92d91875f
C,Ledger,Roslyn,T190044,91478046,LedgerRoslyn@egl-inc.info,M,8?7DP4AD,e1370d18126531ecc922db1c9156a18b,a66fe6e9d28e5199eb675b026bdda8237a8857f2
C,Mccleary,Eloy Bo,T190073,93521949,E.Mccleary@kk-yam.com.hk,F,+FddY%6e,6e0bfae30d4c646de6d6863396ab4fc8,b3b7e375be6b2d8776bd971b0b46c080b34a3931
C,Oviatt,Lies,T190052,92157658,Lie73@progressenergyinc.info,F,eDJh3>Pg,a5aae7110f91a10089b7fcb3dcc88eb6,1594844f1180ce4fc7e0562c09bd20c161350830
C,Paulus,Shem,T190078,29268425,She68@evit-hk.com,F,11111111,1bbd886460827015e5d605ed44252251,a642a77abd7d4f51bf9226ceaf891fcbb5b299b8
C,Rochell,Horten,T190074,22791932,H.Rochell@protal.my,F,yDq6EZ4&,0744819a3687b881ad3c774cc486b7c9,e91c92683eadd094b798ba01d6fe52f791d14d07
C,Rowe,Nelia Ne,T190110,91595837,Rowe_N@eki.org,F,5rW3+BC6,4c59063ef283aec867798ecda8bfb004,5c95cb06aaaf6287d654cedc55d9dfb74c8b8977
C,Shupe,Laticia ,T190010,24605343,ShupeLaticia@diaperstack.com,M,YPga9c~9,da566bb0ce8126a75677db343c9b93d4,a95f7ea50b2536d7e5d53cde9c3c6f2d7ffd09c6
C,Tague,Rick Ruti,T190036,53603829,Tagu_R@sagakali.net,F,t?Wb8yaG,6cd21706c76ae4ad6ecad306b73c008f,a78fa21a177c3cc314f238eeaa0451e51dcc0dab
C,Touchstone,Eust,T190069,91930445,Touc_E@summit.hk,M,U&$5dVr#,b2c1907e73ec1bf5238309fdaae0aa81,7e39766e1555c3cc6c1efbfea86a4ab8169fb2ba
C,Waterman,Leon,T190026,91120913,Leo78@soso.co,F,SG3P&^Y5,49196b8ab24812f3784f280b83d9fc95,6da04febf4cf04e49d6193c33ad3e91ca21070ad
C,Weast,Gwen Li,T190034,97516054,G.Weast@optonline.net,F,RYZ@D2DV,10bd75307ca8a3b95e263770300a948f,c1d5f0a018fecaa731a6b923c9e586adedea1b4d
C,Worrell,Tommye To,T190057,99531292,Worrell_TT@fast-wood.org,F,^8e9BVDb,557e5e2b405e7c78543156c327555528,3b3bcf6b50f669e6f6c4b2234b9b1286c65f4cf4
D,Admire,Jad,T190048,96801373,Jad@summit.hk,F,4NK@^xxP,f516a384687b4c27d2e61a08ed26474e,dc0cc155f7c0c6bc288182e62d2422b678f6fd94
D,Blankenship,Karly,T190056,98705032,Kar97@bani.cn,M,b$eaTB9R,ec3f5c3a573afc4c9570b3423e3c8039,96262b12c302ac2edf0b7e27056ea5eed459b800
D,Boutwell,Holle,T190098,95685941,H.Boutwell@mwk.edu.kr,F,%TZa?3FG,c07e508045e12f6027f51c985c968f68,84bd8bb979cd9f0b1f66b660b29e6edd3af83dd9
D,Cora,Terres,T190049,20585560,Terres @arvinmeritor.info,M,3y&PE4Y?,d74b2ef8bff01f24629dbf4bf52402a1,279dfb1fec3cf8e41ab68de3f4c65a9c1a4ce171
D,Cottman,Suellen En,T190031,93490803,Cott_S@odd-even.info,F,3$U~Lcu#,09a5434b8bfc4fadef1308020e694bc0,ac5fe466aa3aa964c7f4937b38e3b592cca63d91
D,Coughlin,Den,T190002,27322494,CoughlinDen@comcast.net,F,YyB6>M>N,446e63e8e0657778e0646f1287ff5732,62e9033077b5262fa3aab29a283a99f0ff5e3407
D,Dick,Willia ,T190079,93767213,Dick Willia@wui-tti.org.hk,F,8H%KT+qm,81aa9f27fdbc8b912e2104121d6305e8,93e05ab997bd27a80eb7c91fcb6b20f4f3425ee9
D,Downs,Cri,T190095,33815127,Cri65@outlook.com,M,c+&3mx?V,74eb996ad582b76516374c90165b0bd7,0cfe6200781a55a486a5fd4c94babfd10d04ac5c
D,Funkhouser,Aly,T190104,22203025,Funk_A@kindle.uk,M,DX#yZ2xZ,6756807a5719ee1b0658834ba8c20c67,b120347734fcbe30326fabdc0e3446f23a65a6b9
D,Hagler,Sharl,T190033,93437744,Sha80@ipi-new.info,M,$tP8Y6?b,19fa1f2139a4a678d0a32f58e9bbd9fc,b84c839e23530646e8d680a68b3db0d2fcf2a529
D,Hise,Conc,T190042,91925330,Con72@eec.cuhk.hk,F,Ua9#dXP%,afd2b5d642c9a7d3fa5d47a5a7a495aa,88b3fc1680fdc1bf7e3da68801ca7c15e629ffbd
D,Ibanez,Ta T,T190024,23729936,Iban_T@live.com,F,f7Ke>&hT,c292b367748037df42464c8b8889ef3b,1117b34aa085bdc71fd1faf66d0f82b9981d59bc
D,Jaynes,Shayne ,T190046,97991309,Shaynej@plu.hk,M,N+ADR#?2,dd23cc9a76121778df1089ad69a94cbd,72a9613994510e5b4f7437a1ad3985767ead7a56
D,Kiefer,Nam Ne,T190083,95378922,KNamNe@icloud.com,M,PE2v9%&^,d70ff7b7bd8f173c8b1725f591395de9,d2f4c8f02faf3b2c43d2520160e84783c4b6580f
D,Leek,Barry ,T190055,50921278,Leek_B@nasa.us,F,4CR>54~a,ca4ba4d896595c8b1f28cdf76465b617,0b3c2dbd1d2f40feace98b4db9942d954d0647d8
D,Lindblad,Winnie,T190101,22954224,W.Lindblad@mac.com,F,FCd9#aur,c2c57de005cf1c975366cefdbb1a8203,7283f56d19d2b1de442ee09cd1a77387ac38771c
D,Odoms,Ivo,T190006,93573936,I.Odoms@eki.org,M,5R>kJf$Y,37596269967e847bb8b286686769e759,44099be3ab591e859eaea622ac79b5caec4502be
D,Outman,Manue,T190108,93904932,Manue@soso.co,F,h8@6^!VK,a8b52b4130d3667a98155298508947bc,996ad6c138a0e153f5b2ddff3aba7ef49fc50d93
D,Schwenk,Oswaldo,T190097,52160567,Schw_O@auto-aai.co,F,Cdv+2URV,88e43cc652f64e162f671500fc785282,5386e984a9d8766daf0ffcfc4a3a6cc25c07a4e8
D,Tietz,Aure,T190093,23592281,Aur79@anda-kl.com.hk,F,D@^B@+!h,2b71d5e32a140de1aeede5065eaa690d,56043ec4817644e203429cc2990b4a211593b0bb
